title,rating,price,link
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",One,£38.77,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Troublemaker: Surviving Hollywood and Scientology,Two,£48.39,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
The Widow,Two,£27.26,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
"The Sleep Revolution: Transforming Your Life, One Night at a Time",Four,£11.68,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
The Improbability of Love,One,£59.45,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
The Art of Startup Fundraising,Three,£21.00,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Take Me Home Tonight (Rock Star Romance #3),Three,£53.98,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Sleeping Giants (Themis Files #1),One,£48.74,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",Two,£21.15,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Playing with Fire,Three,£13.71,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
Off the Hook (Fishing for Trouble #1),Three,£47.67,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html
